Rank,Anglex,Angley,Anglez,Transi,Transj,Transk,total,rPSC,rPSC_gain,rPSC_penalty,ELEC ,RecACE,LCARMSD,NearNat
177, 1.832596,1.025536,1.576859,116,2,98,3283.567627,2870.000000,4715.000000,-1845.000000,108.433777,305.133850,30.478102,0
178, -0.261799,1.335669,0.897240,1,10,100,3283.220215,3425.000000,5360.000000,-1935.000000,-63.405151,-78.374420,30.810581,0
179, 2.879793,1.135834,-1.431087,14,115,102,3281.875977,2881.000000,4906.000000,-2025.000000,287.893372,112.982574,14.437282,0
180, -3.141593,2.579248,-2.364801,9,115,93,3281.626465,2958.000000,3993.000000,-1035.000000,-12.351837,335.978333,12.442057,0
181, -2.094395,1.569311,-3.003978,116,19,100,3278.599609,3529.000000,5689.000000,-2160.000000,134.286926,-384.687256,42.122566,0
182, 2.094395,2.164094,-2.991358,7,112,95,3276.855713,2993.000000,4523.000000,-1530.000000,-38.053162,321.908844,15.527444,0
183, 1.047198,0.733948,3.021411,0,18,119,3276.544922,2956.000000,3721.000000,-765.000000,32.360016,288.184845,49.632191,0
184, -2.617994,2.063651,-2.044600,7,1,91,3275.510986,2770.000000,4435.000000,-1665.000000,121.339706,384.171295,16.757654,0
185, -1.047198,1.662363,0.915448,1,109,97,3274.558105,3011.000000,4136.000000,-1125.000000,131.410461,132.147614,23.720062,0
186, -0.261799,2.180315,-1.357379,114,103,106,3274.123291,3215.000000,4160.000000,-945.000000,-19.980957,79.104141,37.525806,0
187, 1.832596,1.699788,2.452890,16,1,98,3263.971436,2922.000000,4047.000000,-1125.000000,100.052872,241.918365,12.212414,0
188, 2.356194,1.554776,0.100351,6,117,95,3262.085693,2956.000000,4531.000000,-1575.000000,-8.215607,314.301270,16.809885,0
189, -0.523599,0.831641,0.616218,118,6,97,3258.153076,2941.000000,3976.000000,-1035.000000,132.564270,184.588959,29.940039,0
190, -0.785398,0.674054,1.013609,117,5,97,3257.611084,3096.000000,4086.000000,-990.000000,-41.282776,202.893814,30.432562,0
191, 2.356194,1.741644,-2.695914,7,114,94,3255.712891,2941.000000,3751.000000,-810.000000,-1.503174,316.216034,14.995391,0
192, 0.000000,0.906588,1.252948,117,118,96,3254.111328,3341.000000,4601.000000,-1260.000000,-127.150940,40.262238,27.616974,0
193, 1.047198,1.606104,-0.451151,13,118,93,3250.805420,2958.000000,4083.000000,-1125.000000,39.440460,253.365036,8.997195,0
194, 1.308997,1.168678,2.108595,8,112,101,3249.944824,2833.000000,5128.000000,-2295.000000,169.010986,247.933960,18.042181,0
195, 0.261799,2.863997,0.549740,115,3,89,3249.510010,2758.000000,3748.000000,-990.000000,7.329254,484.180664,30.995440,0
196, 0.261799,2.073035,2.027405,118,10,98,3249.195068,3381.000000,6216.000000,-2835.000000,121.381409,-253.186279,32.774097,0
197, 1.047198,0.370812,-2.547742,14,112,100,3246.554199,2767.000000,3982.000000,-1215.000000,173.803467,305.750610,12.548456,0
198, 2.094395,0.080730,-2.622036,117,109,101,3245.665771,2758.000000,3388.000000,-630.000000,253.698090,233.967804,29.752495,0
199, 2.356194,0.733948,3.021411,3,15,102,3244.012695,3775.000000,4990.000000,-1215.000000,-263.457001,-267.530396,34.222713,0
200, -0.523599,1.504028,0.636812,0,12,101,3243.779541,3627.000000,4887.000000,-1260.000000,-27.871277,-355.349060,33.570316,0
201, -0.261799,0.992645,-1.723759,119,111,94,3243.353760,2883.000000,4098.000000,-1215.000000,126.746857,233.606964,24.732983,0
202, 0.523599,2.349581,-2.702517,5,111,94,3242.448486,2901.000000,3351.000000,-450.000000,69.131332,272.317108,17.748674,0
203, -0.261799,2.984978,1.954446,6,111,95,3239.554688,3115.000000,6040.000000,-2925.000000,-117.663513,242.218323,16.888941,0
204, -1.570796,2.407836,1.410646,116,12,96,3236.633545,3368.000000,6563.000000,-3195.000000,44.373047,-175.739410,35.570923,0
205, -2.094395,0.899350,-2.069907,1,11,92,3233.541992,3060.000000,4230.000000,-1170.000000,165.222900,8.319168,29.750208,0
